,Tweet
0,"As a country, we should seek to have judges who are thoughtful, fair-minded, &amp; respectful. Judge Barrett exemplifies all of these traits. I have the utmost confidence that she will serve the Court &amp; this country with honesty &amp; integrity. My full remarks: https://t.co/XkIlG5fOBR"
1,"Today I spoke on the Senate floor regarding the nomination of Judge Amy Coney Barrett, who I consider to be the most qualified Supreme Court nominee that I have encountered in my 34 years in the United States Senate. #SCOTUS https://t.co/fBovcqB5Jz"
2,Very sad to hear about the Navy trainer aircraft that crashed in Foley. My thoughts and prayers are with the families of the two service members who lost their lives.
3,"Senate Democrats have, again, blocked hundreds of billions of dollars in COVID relief. Families and businesses are struggling. This senseless gridlock must stop for their sake. They deserve better. https://t.co/9MR7o7QGLa"
4,"Happy 245th birthday to the @USNavy! Thank you to the men and women who have served and continue to serve our nation on the water with honor, courage, and commitment. #Navy245 #USNavy https://t.co/U2x1HmNFdF"
5,"Good news! @USDA is investing $3.05M in Distance Learning and Telemedicine grants in Alabama, which will help rural residents gain access to health care and educational opportunities. https://t.co/TnqcjRr2FI"
6,Wishing the President @realDonaldTrump and First Lady Melania Trump @FLOTUS a speedy recovery. My thoughts and prayers are with all those impacted by #COVID19.
7,"Proud to announce that @usedgov has awarded @MadeinAL over $17M. This investment was made possible by the CARES Act and will fund the Alabama Workforce Stabilization Program, which will help provide educational &amp; training opportunities for workers displaced by #COVID19. https://t.co/rANXhlttVY"
8,Congress should act on a targeted #COVID19 relief measure to help small businesses and those in need. This will boost our economy and recovery efforts. Time is of the essence. We need to pass a measure now.
9,RT @AlabamaEMA: Make sure your household knows and understands your hurricane plan. Discuss the latest CDC guidance on COVID-19 and how it…
10,"The American people are fighters, but the accumulated strain of this pandemic is a serious burden. With the additional resources this legislation provides, I believe we can give them greater confidence that we are getting our arms around this virus."
11,Today my colleagues &amp; I introduced the HEALS Act - our plan to aid American families &amp; businesses suffering from the #COVID19 global pandemic. I believe we need to act with a sense of urgency.
12,RT @CDCgov: You can help slow the spread of #COVID19. Practice #socialdistancing. Keep at least six feet of physical distance between yours…
13,Happy Independence Day! Today we celebrate our freedom and recognize those who have bravely served and sacrificed so that we may enjoy liberties as an independent nation. Please remember to stay safe as you enjoy the holiday. #IndependenceDay #July4th https://t.co/KJUcJfSX0T
14,"Today I attended the Labor-HHS Appropriations hearing to review Operation Warp Speed – our nation’s effort to find a safe, effective #COVID19 vaccine. Questioned @NIHDirector, @CDCDirector &amp; @BARDA’s Dr. Disbrow on where we are in the process &amp; when we can expect results. https://t.co/p2PMejrqYe"
15,Proud @GovernorKayIvey is taking steps to ensure the safety of all Alabamians as we continue work to combat #COVID19. Please follow the #SaferatHome order through July 31st and continue wearing face masks and following @CDCGov guidelines. https://t.co/rICtlcErfQ
16,"RT @CDCgov: If you have certain underlying medical conditions, you are at increased risk of severe illness from #COVID19, no matter your ag…"
17,"Important reminder for all small businesses in #Alabama! The deadline to apply for the #PaycheckProtectionProgram is Tuesday, June 30th. Follow @SBAGov’s link below to apply now for assistance during #COVID19: https://t.co/QlcgDFyMWg"
18,Additional #COVID19 resources are now available online for Alabama’s farmers: https://t.co/fuWlQCkZ2U
